TM001	Kopfnuss
TM002	Drachenklaue
TM003	Psychoschock
TM004	Zertrümmerer
TM005	Brüller
TM006	Gedankengut
TM007	Toxin
TM008	Donnerwelle
TM009	Rollwende
TM010	Durchbruch
TM011	Protzer
TM012	Steinhagel
TM013	Eisstrahl
TM014	Feuerzahn
TM015	Eiszahn
TM016	Lichtschild
TM017	Schutzschild
TM018	Steigerungshieb
TM019	Juwelenkraft
TM020	Knuddler
TM021	Donnerzahn
TM022	Aero-Ass
TM023	Donnerschlag
TM024	Eishieb
TM025	Knirscher
TM026	Energieball
TM027	Sternschauer
TM028	Schaufler
TM029	Feuerschlag
TM030	Schwerttanz
TM031	Reflektor
TM032	Doppelteam
TM033	Bodyslam
TM034	Nachthieb
TM035	Ausdauer
TM036	Felsgrab
TM037	Tarnsteine
TM038	Feuersturm
TM039	Ladungsstoß
TM040	Kugelsaat
TM041	Aquawelle
TM042	Gigasauger
TM043	Fliegen
TM044	Hyperstrahl
TM045	Abschlag
TM046	Lehmschuss
TM047	Agilität
TM048	Finale
TM049	Eissturm
TM050	Hitzekoller
TM051	Bodyguard
TM052	Erdkräfte
TM053	Matschbombe
TM054	Draco Meteor
TM055	Gigastoß
TM056	Risikotackle
TM057	Irrlicht
TM058	Eisenschädel
TM059	Zen-Kopfstoß
TM060	Seher
TM061	Dunkelklaue
TM062	Flammenwurf
TM063	Psychokinese
TM064	Solarstrahl
TM065	Steinkante
TM066	Voltwechsel
TM067	Donnerblitz
TM068	Hitzewelle
TM069	Erdbeben
TM070	Whirlpool
TM071	Schallwelle
TM072	Feuerwirbel
TM073	Surfer
TM074	Spukball
TM075	Drachenpuls
TM076	Aquadurchstoß
TM077	Gifthieb
TM078	Dampfwalze
TM079	Orkan
TM080	Eisenabwehr
TM081	Kreuzschere
TM082	Kehrtwende
TM083	Ränkeschmied
TM084	Lichtkanone
TM085	Delegator
TM086	Stromstoß
TM087	Eisenschweif
TM088	Stachler
TM089	Giftspitzen
TM090	Finsteraura
TM091	Fluch
TM092	Zauberschein
TM093	Wutanfall
TM094	Wirbelwind
TM095	Verhöhner
TM096	Hydropumpe
TM097	Heilblockade
TM098	Kaskade
TM099	Metronom
TM100	Mülltreffer
TM101	Elektronetz
TM102	Fokusstoß
TM103	Kraftschub
TM104	Flammenblitz
TM105	Blizzard
TM106	Donner
TM107	Nahkampf
TM108	Kometenhieb
TM109	Fassade
TM110	Kalte Dusche
TM111	Gesang
TM112	Säurespeier
TM113	Fußtritt
TM114	Nitroladung
TM115	Wegbereiter
TM116	Zahltag
TM117	Silberhauch
TM118	Finsterfaust
TM119	Unheilböen
TM120	Antik-Kraft
TM121	Folterknecht
TM122	Trugschlag
TM123	Giftzahn
TM124	Psychobeißer
TM125	Mimikry
TM126	Magnetbombe
TM127	Traumfresser
TM128	Samenbomben
TM129	Überkopfwurf
TM130	Ladestrahl
TM131	Ableithieb
TM132	Doppelschlag
TM133	Feuerfeger
TM134	Doppelflügel
TM135	Doppelhieb
TM136	Brandsand
TM137	Bergsturm
TM138	Eisesodem
TM139	Angeberei
TM140	Lehmbrühe
TM141	Mogelhieb
TM142	Überrumpler
TM143	Schuppenschuss
TM144	Dreifach-Axel
TM145	Klingensturm
TM146	Schädelwumme
TM147	Triplette
TM148	Siedewasser
TM149	Eisspeer
TM150	Vakuumwelle
TM151	Blättertanz
TM152	Solarklinge
TM153	Himmelsfeger
TM154	Geofissur
TM155	Eiseskälte
TM156	Meteorstrahl
TM157	Stahlstrahl
TM158	Lohekanonade
TM159	Aquahaubitze
TM160	Flora-Statue
