TM001	Bottintesta
TM002	Dragartigli
TM003	Psicoshock
TM004	Spaccaroccia
TM005	Boato
TM006	Calmamente
TM007	Tossina
TM008	Tuononda
TM009	Virata
TM010	Breccia
TM011	Granfisico
TM012	Frana
TM013	Geloraggio
TM014	Rogodenti
TM015	Gelodenti
TM016	Schermoluce
TM017	Protezione
TM018	Crescipugno
TM019	Gemmoforza
TM020	Carineria
TM021	Fulmindenti
TM022	Aeroassalto
TM023	Tuonopugno
TM024	Gelopugno
TM025	Sgranocchio
TM026	Energipalla
TM027	Comete
TM028	Fossa
TM029	Fuocopugno
TM030	Danzaspada
TM031	Riflesso
TM032	Doppioteam
TM033	Corposcontro
TM034	Nottesferza
TM035	Resistenza
TM036	Rocciotomba
TM037	Levitoroccia
TM038	Fuocobomba
TM039	Scarica
TM040	Semitraglia
TM041	Idropulsar
TM042	Gigassorbimento
TM043	Volo
TM044	Iper Raggio
TM045	Privazione
TM046	Colpodifango
TM047	Agilità
TM048	Autodistruzione
TM049	Ventogelato
TM050	Vampata
TM051	Salvaguardia
TM052	Geoforza
TM053	Fangobomba
TM054	Dragobolide
TM055	Gigaimpatto
TM056	Sdoppiatore
TM057	Fuocofatuo
TM058	Metaltestata
TM059	Cozzata Zen
TM060	Divinazione
TM061	Ombrartigli
TM062	Lanciafiamme
TM063	Psichico
TM064	Solarraggio
TM065	Pietrataglio
TM066	Invertivolt
TM067	Fulmine
TM068	Ondacalda
TM069	Terremoto
TM070	Mulinello
TM071	Granvoce
TM072	Turbofuoco
TM073	Surf
TM074	Palla Ombra
TM075	Dragopulsar
TM076	Idrobreccia
TM077	Velenpuntura
TM078	Battiterra
TM079	Tifone
TM080	Ferroscudo
TM081	Forbice X
TM082	Retromarcia
TM083	Congiura
TM084	Cannonflash
TM085	Sostituto
TM086	Sprizzalampo
TM087	Codacciaio
TM088	Punte
TM089	Fielepunte
TM090	Neropulsar
TM091	Maledizione
TM092	Magibrillio
TM093	Oltraggio
TM094	Turbine
TM095	Provocazione
TM096	Idropompa
TM097	Anticura
TM098	Cascata
TM099	Metronomo
TM100	Sporcolancio
TM101	Elettrotela
TM102	Focalcolpo
TM103	Cuordileone
TM104	Fuococarica
TM105	Bora
TM106	Tuono
TM107	Zuffa
TM108	Cometapugno
TM109	Facciata
TM110	Doccia Fredda
TM111	Canto
TM112	Acidobomba
TM113	Calciobasso
TM114	Nitrocarica
TM115	Apripista
TM116	Giornopaga
TM117	Ventargenteo
TM118	Pugnodombra
TM119	Funestovento
TM120	Forzantica
TM121	Attaccalite
TM122	Falsofinale
TM123	Velenodenti
TM124	Psicozanna
TM125	Mimica
TM126	Bombagnete
TM127	Mangiasogni
TM128	Semebomba
TM129	Ribaltiro
TM130	Raggioscossa
TM131	Assorbipugno
TM132	Doppiosmash
TM133	Calciardente
TM134	Doppia Ala
TM135	Doppiocolpo
TM136	Sabbiardente
TM137	Tempestretta
TM138	Alitogelido
TM139	Bullo
TM140	Fanghiglia
TM141	Bruciapelo
TM142	Schermaglia
TM143	Squamacolpo
TM144	Triplo Axel
TM145	Ventagliente
TM146	Capocciata
TM147	Tripletta
TM148	Idrovampata
TM149	Gelolancia
TM150	Vuotonda
TM151	Petalodanza
TM152	Lama Solare
TM153	Aeroattacco
TM154	Abisso
TM155	Purogelo
TM156	Raggiometeora
TM157	Raggio d’Acciaio
TM158	Incendio
TM159	Idrocannone
TM160	Radicalbero
