TM001	ずつき
TM002	ドラゴンクロー
TM003	サイコショック
TM004	いわくだき
TM005	ほえる
TM006	めいそう
TM007	どくどく
TM008	でんじは
TM009	クイックターン
TM010	かわらわり
TM011	ビルドアップ
TM012	いわなだれ
TM013	れいとうビーム
TM014	ほのおのキバ
TM015	こおりのキバ
TM016	ひかりのかべ
TM017	まもる
TM018	グロウパンチ
TM019	パワージェム
TM020	じゃれつく
TM021	かみなりのキバ
TM022	つばめがえし
TM023	かみなりパンチ
TM024	れいとうパンチ
TM025	かみくだく
TM026	エナジーボール
TM027	スピードスター
TM028	あなをほる
TM029	ほのおのパンチ
TM030	つるぎのまい
TM031	リフレクター
TM032	かげぶんしん
TM033	のしかかり
TM034	つじぎり
TM035	こらえる
TM036	がんせきふうじ
TM037	ステルスロック
TM038	だいもんじ
TM039	ほうでん
TM040	タネマシンガン
TM041	みずのはどう
TM042	ギガドレイン
TM043	そらをとぶ
TM044	はかいこうせん
TM045	はたきおとす
TM046	マッドショット
TM047	こうそくいどう
TM048	じばく
TM049	こごえるかぜ
TM050	オーバーヒート
TM051	しんぴのまもり
TM052	だいちのちから
TM053	ヘドロばくだん
TM054	りゅうせいぐん
TM055	ギガインパクト
TM056	すてみタックル
TM057	おにび
TM058	アイアンヘッド
TM059	しねんのずつき
TM060	みらいよち
TM061	シャドークロー
TM062	かえんほうしゃ
TM063	サイコキネシス
TM064	ソーラービーム
TM065	ストーンエッジ
TM066	ボルトチェンジ
TM067	１０まんボルト
TM068	ねっぷう
TM069	じしん
TM070	うずしお
TM071	ハイパーボイス
TM072	ほのおのうず
TM073	なみのり
TM074	シャドーボール
TM075	りゅうのはどう
TM076	アクアブレイク
TM077	どくづき
TM078	じならし
TM079	ぼうふう
TM080	てっぺき
TM081	シザークロス
TM082	とんぼがえり
TM083	わるだくみ
TM084	ラスターカノン
TM085	みがわり
TM086	ワイルドボルト
TM087	アイアンテール
TM088	まきびし
TM089	どくびし
TM090	あくのはどう
TM091	のろい
TM092	マジカルシャイン
TM093	げきりん
TM094	ふきとばし
TM095	ちょうはつ
TM096	ハイドロポンプ
TM097	かいふくふうじ
TM098	たきのぼり
TM099	ゆびをふる
TM100	ダストシュート
TM101	エレキネット
TM102	きあいだま
TM103	ふるいたてる
TM104	フレアドライブ
TM105	ふぶき
TM106	かみなり
TM107	インファイト
TM108	れんぞくパンチ
TM109	からげんき
TM110	ひやみず
TM111	うたう
TM112	アシッドボム
TM113	ローキック
TM114	ニトロチャージ
TM115	くさわけ
TM116	ネコにこばん
TM117	ぎんいろのかぜ
TM118	シャドーパンチ
TM119	あやしいかぜ
TM120	げんしのちから
TM121	いちゃもん
TM122	みねうち
TM123	どくどくのキバ
TM124	サイコファング
TM125	ものまね
TM126	マグネットボム
TM127	ゆめくい
TM128	タネばくだん
TM129	ともえなげ
TM130	チャージビーム
TM131	ドレインパンチ
TM132	ダブルアタック
TM133	ブレイズキック
TM134	ダブルウイング
TM135	ダブルチョップ
TM136	ねっさのだいち
TM137	やまあらし
TM138	こおりのいぶき
TM139	いばる
TM140	だくりゅう
TM141	ねこだまし
TM142	であいがしら
TM143	スケイルショット
TM144	トリプルアクセル
TM145	かまいたち
TM146	ロケットずつき
TM147	トライアタック
TM148	ねっとう
TM149	つららばり
TM150	しんくうは
TM151	はなびらのまい
TM152	ソーラーブレード
TM153	ゴッドバード
TM154	じわれ
TM155	ぜったいれいど
TM156	メテオビーム
TM157	てっていこうせん
TM158	ブラストバーン
TM159	ハイドロカノン
TM160	ハードプラント
