TM001	Golpe Cabeza
TM002	Garra Dragón
TM003	Choque Psíquico
TM004	Golpe Roca
TM005	Rugido
TM006	Paz Mental
TM007	Tóxico
TM008	Onda Trueno
TM009	Viraje
TM010	Karatazo
TM011	Corpulencia
TM012	Avalancha
TM013	Rayo de Hielo
TM014	Colmillo Fuego
TM015	Colmillo Hielo
TM016	Pantalla de Luz
TM017	Protección
TM018	Puño Incremento
TM019	Joya de Luz
TM020	Juego Rudo
TM021	Colmillo Trueno
TM022	As Aéreo
TM023	Puño Trueno
TM024	Puño Hielo
TM025	Triturar
TM026	Bola de Energía
TM027	Meteoros
TM028	Excavar
TM029	Puño Fuego
TM030	Danza de Espadas
TM031	Reflejo
TM032	Doble Equipo
TM033	Golpe de Cuerpo
TM034	Corte Umbrío
TM035	Aguante
TM036	Tumba de Rocas
TM037	Trampa de Rocas
TM038	Llamarada
TM039	Chispazo
TM040	Bala Semilla
TM041	Pulso de Agua
TM042	Gigadrenado
TM043	Vuelo
TM044	Hiperrayo
TM045	Desarme
TM046	Disparo de Lodo
TM047	Agilidad
TM048	Autodestrucción
TM049	Viento Helado
TM050	Supercalor
TM051	Velo Sagrado
TM052	Poder Terrestre
TM053	Bomba Lodo
TM054	Meteoro Dragón
TM055	Gigaimpacto
TM056	Doble Filo
TM057	Fuego Fatuo
TM058	Cabeza de Hierro
TM059	Cabezazo Zen
TM060	Premonición
TM061	Garra de Sombra
TM062	Lanzallamas
TM063	Fuerza Psíquica
TM064	Rayo Solar
TM065	Roca Afilada
TM066	Cambiavoltaje
TM067	Atactrueno
TM068	Onda Ígnea
TM069	Terremoto
TM070	Remolino
TM071	Hipervoz
TM072	Giro Fuego
TM073	Surf
TM074	Bola Sombra
TM075	Pulso Dragón
TM076	Hidroariete
TM077	Golpe Venenoso
TM078	Terratemblor
TM079	Huracán
TM080	Defensa Hierro
TM081	Tijera X
TM082	Ida y Vuelta
TM083	Maquinación
TM084	Cañón Resplandor
TM085	Sustituto
TM086	Carga Salvaje
TM087	Cola de Hierro
TM088	Púas
TM089	Púas Tóxicas
TM090	Pulso Oscuro
TM091	Maldición
TM092	Brillo Mágico
TM093	Enfado
TM094	Torbellino
TM095	Provocación
TM096	Hidrobomba
TM097	Anticuración
TM098	Cascada
TM099	Metrónomo
TM100	Lanzamugre
TM101	Electrotela
TM102	Ataque Centrado
TM103	Avivar
TM104	Erupción
TM105	Ventisca
TM106	Trueno
TM107	Cuerpo a Cuerpo
TM108	Puño Cometa
TM109	Fachada
TM110	Agua Fría
TM111	Canto
TM112	Bomba Ácida
TM113	Barredora
TM114	Carga de Fuego
TM115	Abrecaminos
TM116	Día de Pago
TM117	Viento Plateado
TM118	Puño Sombra
TM119	Viento Ominoso
TM120	Poder Antiguo
TM121	Tormento
TM122	Falsa Bofetada
TM123	Colmillo Veneno
TM124	Psicocolmillo
TM125	Mímica
TM126	Magnetobomba
TM127	Comesueños
TM128	Bomba Semilla
TM129	Llave Giro
TM130	Rayo Carga
TM131	Puño Drenador
TM132	Doble Golpe
TM133	Patada Ígnea
TM134	Aletazo Doble
TM135	Golpe Dual
TM136	Arenas Ardientes
TM137	Llave Tempestad
TM138	Vaho Helado
TM139	Fanfarronear
TM140	Agua Lodosa
TM141	Sorpresa
TM142	Escaramuza
TM143	Disparo Escamas
TM144	Triple Axel
TM145	Viento Cortante
TM146	Cabezazo
TM147	Triataque
TM148	Escaldar
TM149	Lanza de Hielo
TM150	Onda de Vacío
TM151	Danza de Pétalos
TM152	Cuchillada Solar
TM153	Ataque Celestial
TM154	Fisura
TM155	Frío Extremo
TM156	Rayo Meteórico
TM157	Metaláser
TM158	Anillo de Fuego
TM159	Hidrocañón
TM160	Planta Feroz
