WazaId	ChargeFrame	AttackLoopFrame	SpawnOrigin	SpawnLocator	SpawnOffsetX	SpawnOffsetY	SpawnOffsetZ	ShotDirection	CorrectTargetType	ImpactMotionSpeed	PlayWazaMoveType	WazaRangeMin	WazaRangeMax	HeightTolerance	EffectiveRange	MinShootNum	MaxShootNum	HitPer	WazaRecastTime	EffectTime	EffectValue	AddMegaPowerValue	PlayedMotionSpeed	OverwriteBulletId1	ReplaceBulletId1	OverwriteBulletId2	ReplaceBulletId2	OverwriteBulletId3	ReplaceBulletId3	OverwriteBulletId4	ReplaceBulletId4	OverwriteBulletId5	ReplaceBulletId5	BulletCorrectScale
999	0	0	0	eff_rangeattack01	0	0	0	0	0	1	0	0	1	0	99	1	1	100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
7	10	20	0	eff_front01	0	0	0.5	0	0	2	1	0.5	2	2	99	1	1	100	7	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
8	10	20	0	eff_front01	0	0	0.5	0	0	2	1	0.5	2	2	99	1	1	100	7	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
9	10	20	0	eff_front01	0	0	0.5	0	0	2	1	0.5	2	2	99	1	1	100	7	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
14	25	20	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	15	20	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
16	12	10	1	origin	0	0	0	0	0	1	3	1	99	0	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
17	10	20	0	eff_front01	0	0	0.5	0	0	1	1	0.5	2	2	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
18	25	20	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	12	1	1	100	7	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
19	40	20	7	origin	0	0	0	0	0	1	1	0.5	8	2	7	1	1	100	12	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
22	10	20	0	eff_front01	0	0	0.5	0	0	2	1	0.5	2	2	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
29	15	20	0	eff_front01	0	0	0.5	0	0	1	1	0.5	2	2	99	1	1	100	7	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
33	1	20	0	eff_front01	0	0	0.5	0	0	1	1	0.5	1.5	2	99	1	1	100	4	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
34	15	20	0	origin	0	0	2	0	0	2	1	0	2	2	99	1	1	100	8	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
36	15	24	0	origin	0	0	0	0	0	1	1	0	6	2	5	1	1	100	8	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
38	15	20	0	origin	0	0	0	0	0	1	1	0	6	2	5	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
39	30	20	0	eff_center01	0	0	3	0	0	1	1	0.5	4	2	3	1	1	100	7	12	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
40	10	20	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	12	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
42	20	30	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	12	5	5	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
43	30	20	0	eff_front01	0	0	0	0	0	1	1	0.5	4.5	2	3.5	1	1	100	6	12	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
44	10	20	0	eff_front01	0	0	0.3	0	0	2	1	0.5	2	2	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
45	30	20	0	eff_front01	0	0	0	0	0	1	1	0.5	2.5	2	1.5	1	1	100	6	12	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
46	30	20	0	eff_front01	0	0	0	0	0	1	1	0.5	5	2	4	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
48	10	30	0	eff_rangeattack02	0	0	0	0	0	1	1	0.5	3	2	2	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
52	20	15	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	12	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
53	20	30	0	eff_rangeattack02	0	0	0	0	0	1	3	0.5	99	0	4	1	1	100	8	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
54	20	20	4	origin	0	0	0	0	0	1	0	0	99	0	99	1	1	100	10	10	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
55	20	15	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	12	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
56	50	50	0	eff_rangeattack02	0	0	0	0	0	1	3	0	99	0	19	1	1	100	12	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
3014	50	50	0	eff_rangeattack02	0	0.04	0	0	0	1	3	0	99	0	19	1	1	100	12	0	0	5.75	1	1961	79	0	0	0	0	0	0	0	0	1
57	20	43	0	origin	0	0.04	0	0	0	1	1	0	6	2	5	1	1	100	8	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
58	30	45	0	eff_rangeattack02	0	0	0	0	0	1	3	0	99	0	19	1	1	100	8	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
59	35	30	1	origin	0	0	0	0	0	1	3	1	99	0	99	1	1	100	12	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
60	30	30	0	eff_rangeattack02	0	0	0	0	0	1	3	0	99	0	19	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
61	15	20	0	eff_rangeattack02	0	0	0	0	0	1	3	0.5	99	0	5	1	1	100	6	8	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
63	35	60	0	eff_rangeattack02	0	0	0	0	0	1	3	0	99	0	19	1	1	100	20	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
64	10	20	0	eff_front01	0	0	0.5	0	0	2	1	0.5	2	2	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
71	10	25	0	eff_front01	0	0	0.5	0	0	1	1	0.5	3	2	99	1	1	100	7	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
73	20	10	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	15	1	1	100	12	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
74	40	20	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	15	12	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
75	15	20	0	eff_rangeattack02	0	0	0	0	0	1	3	0.5	99	0	2	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
76	70	30	0	eff_rangeattack02	0	0	0	0	0	1	3	0	99	0	19	1	1	100	12	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
77	15	30	0	eff_rangeattack02	0	0	0	0	0	1	1	0.5	2	2	1	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
78	15	30	0	eff_rangeattack02	0	0	0	0	0	1	1	0.5	2	2	1	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
79	15	30	0	eff_rangeattack02	0	0	0	0	0	1	1	0.5	2	2	1	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
81	20	20	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	8	1	1	100	9	15	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
83	10	30	5	origin	0	0	0	0	0	1	3	0.5	99	0	99	1	1	100	7	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
84	25	15	1	eff_center01	0	0	0	0	0	1	3	1	99	0	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
85	25	20	1	eff_center01	0	0	0	0	0	1	3	1	99	0	99	1	1	100	8	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
86	15	30	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	2.5	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
87	30	10	1	origin	0	0	0	0	0	1	3	1	99	0	99	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
88	20	30	1	eff_center01	0	5	0	1	0	1	3	1	99	0	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
89	18	33	4	origin	0	0	0	0	0	1	1	0.5	2	2	99	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
91	40	20	6	origin	0	0	0	0	0	1	1	0.5	8	2	7	1	1	100	12	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
92	20	20	5	origin	0	0	0	0	0	1	1	0.5	3	2	2	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
93	20	30	1	eff_center01	0	0	0	0	0	1	3	1	99	0	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
94	20	30	1	eff_center01	0	0	0	0	0	1	3	1	99	0	99	1	1	100	8	15	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
95	20	30	1	eff_center01	0	0	0	0	0	1	1	0.5	3	2	2	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
97	30	10	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	12	15	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
98	0	20	2	origin	0	0	0	0	0	2	1	0.5	6.5	2	5.5	1	1	100	3	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
100	40	0	0	origin	0	0	0	0	0	1	0	0	99	0	99	1	1	100	7	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
103	1	20	0	eff_front01	0	0	0	0	0	1	1	0.5	4.5	2	3.5	1	1	100	10	30	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
104	40	10	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	15	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
105	25	30	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	15	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
106	30	10	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	6	15	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
108	1	20	4	origin	0	0	0	0	0	1	0	0	99	0	99	1	1	100	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
109	20	40	0	eff_rangeattack02	0	0	-0.1	0	0	1	3	1	99	0	9	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
113	40	20	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	12	35	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
114	20	20	4	origin	0	0	0	0	0	1	0	0	99	0	99	1	1	100	15	10	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
115	40	20	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	12	35	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
116	30	20	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	10	30	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
118	1	20	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	4	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
120	60	30	0	eff_center01	0	0	0	0	0	1	1	0.5	2	2	1	1	1	100	15	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
122	10	20	0	eff_front01	0	0	1	0	0	1	1	0.5	2	2	99	1	1	100	6	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
126	35	30	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	7	1	1	85	10	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
127	15	24	0	origin	0	0	0	0	0	1	1	0	6	2	5	1	1	100	8	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
129	10	15	0	eff_rangeattack02	0	0	0	0	0	1	3	1	99	0	14	1	1	100	5	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
133	1	20	0	eff_center01	0	0	0	0	0	1	0	0	99	0	99	1	1	100	9	30	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
137	10	20	0	eff_front01	0	0	0	0	0	1	1	0.5	3.5	2	2.5	1	1	100	8	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
141	10	0	0	eff_front01	0	0	0.3	0	0	1	1	0.5	2	2	99	1	1	100	9	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	1
