TM001	头锤
TM002	龙爪
TM003	精神冲击
TM004	碎岩
TM005	吼叫
TM006	冥想
TM007	剧毒
TM008	电磁波
TM009	快速折返
TM010	劈瓦
TM011	健美
TM012	岩崩
TM013	冰冻光束
TM014	火焰牙
TM015	冰冻牙
TM016	光墙
TM017	守住
TM018	增强拳
TM019	力量宝石
TM020	嬉闹
TM021	雷电牙
TM022	燕返
TM023	雷电拳
TM024	冰冻拳
TM025	咬碎
TM026	能量球
TM027	高速星星
TM028	挖洞
TM029	火焰拳
TM030	剑舞
TM031	反射壁
TM032	影子分身
TM033	泰山压顶
TM034	暗袭要害
TM035	挺住
TM036	岩石封锁
TM037	隐形岩
TM038	大字爆炎
TM039	放电
TM040	种子机关枪
TM041	水之波动
TM042	终极吸取
TM043	飞翔
TM044	破坏光线
TM045	拍落
TM046	泥巴射击
TM047	高速移动
TM048	玉石俱碎
TM049	冰冻之风
TM050	过热
TM051	神秘守护
TM052	大地之力
TM053	污泥炸弹
TM054	流星群
TM055	终极冲击
TM056	舍身冲撞
TM057	磷火
TM058	铁头
TM059	意念头锤
TM060	预知未来
TM061	暗影爪
TM062	喷射火焰
TM063	精神强念
TM064	日光束
TM065	尖石攻击
TM066	伏特替换
TM067	十万伏特
TM068	热风
TM069	地震
TM070	潮旋
TM071	巨声
TM072	火焰旋涡
TM073	冲浪
TM074	暗影球
TM075	龙之波动
TM076	水流裂破
TM077	毒击
TM078	重踏
TM079	暴风
TM080	铁壁
TM081	十字剪
TM082	急速折返
TM083	诡计
TM084	加农光炮
TM085	替身
TM086	疯狂伏特
TM087	铁尾
TM088	撒菱
TM089	毒菱
TM090	恶之波动
TM091	咒术
TM092	魔法闪耀
TM093	逆鳞
TM094	吹飞
TM095	挑衅
TM096	水炮
TM097	回复封锁
TM098	攀瀑
TM099	挥指
TM100	垃圾射击
TM101	电网
TM102	真气弹
TM103	自我激励
TM104	闪焰冲锋
TM105	暴风雪
TM106	打雷
TM107	近身战
TM108	连续拳
TM109	硬撑
TM110	泼冷水
TM111	唱歌
TM112	酸液炸弹
TM113	下盘踢
TM114	蓄能焰袭
TM115	起草
TM116	聚宝功
TM117	银色旋风
TM118	暗影拳
TM119	奇异之风
TM120	原始之力
TM121	无理取闹
TM122	点到为止
TM123	剧毒牙
TM124	精神之牙
TM125	模仿
TM126	磁铁炸弹
TM127	食梦
TM128	种子炸弹
TM129	巴投
TM130	充电光束
TM131	吸取拳
TM132	二连击
TM133	火焰踢
TM134	双翼
TM135	二连劈
TM136	热沙大地
TM137	山岚摔
TM138	冰息
TM139	虚张声势
TM140	浊流
TM141	击掌奇袭
TM142	迎头一击
TM143	鳞射
TM144	三旋击
TM145	旋风刀
TM146	火箭头锤
TM147	三重攻击
TM148	热水
TM149	冰锥
TM150	真空波
TM151	花瓣舞
TM152	日光刃
TM153	神鸟猛击
TM154	地裂
TM155	绝对零度
TM156	流星光束
TM157	铁蹄光线
TM158	爆炸烈焰
TM159	加农水炮
TM160	疯狂植物
